<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.09.01	21:00:00	1.10423	1.10491	1.10421	1.10477	356	0	5
2024.09.01	22:00:00	1.10477	1.10497	1.10440	1.10459	678	0	1
2024.09.01	23:00:00	1.10459	1.10472	1.10441	1.10446	2141	0	1
2024.09.02	00:00:00	1.10446	1.10557	1.10419	1.10534	2010	0	1
2024.09.02	01:00:00	1.10534	1.10556	1.10501	1.10515	2975	0	1
2024.09.02	02:00:00	1.10515	1.10537	1.10457	1.10513	1949	0	1
2024.09.02	03:00:00	1.10513	1.10555	1.10484	1.10485	1641	0	1
2024.09.02	04:00:00	1.10485	1.10486	1.10438	1.10484	1305	0	1
2024.09.02	05:00:00	1.10484	1.10564	1.10453	1.10551	1662	0	0
2024.09.02	06:00:00	1.10551	1.10702	1.10547	1.10657	3231	0	0
2024.09.02	07:00:00	1.10658	1.10686	1.10559	1.10666	5673	0	0
2024.09.02	08:00:00	1.10666	1.10774	1.10640	1.10674	4931	0	0
2024.09.02	09:00:00	1.10674	1.10727	1.10634	1.10691	4078	0	0
2024.09.02	10:00:00	1.10691	1.10705	1.10613	1.10663	3439	0	1
2024.09.02	11:00:00	1.10663	1.10689	1.10596	1.10597	4350	0	1
2024.09.02	12:00:00	1.10597	1.10714	1.10584	1.10679	3474	0	1
2024.09.02	13:00:00	1.10679	1.10718	1.10662	1.10678	2926	0	0
2024.09.02	14:00:00	1.10678	1.10715	1.10600	1.10690	3994	0	0
2024.09.02	15:00:00	1.10690	1.10709	1.10636	1.10678	2106	0	1
2024.09.02	16:00:00	1.10678	1.10681	1.10623	1.10658	860	0	0
2024.09.02	17:00:00	1.10658	1.10687	1.10658	1.10687	330	0	1
2024.09.02	18:00:00	1.10686	1.10714	1.10684	1.10709	345	0	1
2024.09.02	19:00:00	1.10709	1.10727	1.10706	1.10721	251	0	1
2024.09.02	20:00:00	1.10721	1.10726	1.10706	1.10712	420	0	1
2024.09.02	21:00:00	1.10712	1.10721	1.10660	1.10699	367	0	7
2024.09.02	22:00:00	1.10699	1.10728	1.10665	1.10665	564	0	1
2024.09.02	23:00:00	1.10665	1.10682	1.10645	1.10672	830	0	1
2024.09.03	00:00:00	1.10672	1.10687	1.10589	1.10606	2962	0	0
2024.09.03	01:00:00	1.10606	1.10683	1.10600	1.10669	2771	0	1
2024.09.03	02:00:00	1.10669	1.10702	1.10629	1.10636	1771	0	1
2024.09.03	03:00:00	1.10636	1.10636	1.10574	1.10580	2005	0	0
